question,link
A projectile is launched with an initial speed of 75 m/s at an angle of 20∘ above the horizontal. The projectile lands on a hillside 6.0 s later. Neglect air friction. (a) What is the projectile's velocity at the highest point of its trajectory? m/s (b) What is the straight-line distance from where the projectile was launched to where it hits its target? Your response differs from the correct answer by more than 10%. Double check your calculations. m,http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fprojectile-launched-initial-speed-75-mathrm-~m-mathrm-s-angle-20-circ-horizontal-projectil-q107102137
12.2 Two waves traveling together along the same line are represented by y1=25sin(ωt−4π​) and y2=15sin(ωt−6π​) (a) Find the resultant amplitude (b) Find the initial phase angle of the resultant (c) Find the resultant equation for the sum of the two motions,http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2F122-two-waves-traveling-together-along-line-represented-y-1-25-sin-left-omega-t-frac-pi-4--q107102136
methods find the following. (a) The vector sum A+B. Magnitude of A+B : units Direction of A+B:∘ counterclockwise from +x-axis (b) The vector difference A−B. Magnitude of A−B : units Direction of A−B:∘ counterclockwise from +x-axis,http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fmethods-find-following-vector-sum-overrightarrow-mathbf-overrightarrow-mathbf-b--magnitude-q107102146
"Problem 4.38 Quarks carry spin 1/2. Three quarks bind together to make a baryon (such as the proton or neutron); two quarks (or more precisely a quark and an antiquark) bind together to make a meson (such as the pion or the kaon). Assume the quarks are in the ground state (so the orbital angular momentum is zero).
(a) What spins are possible for baryons? (b) What spins are possible for mesons?",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fproblem-438-quarks-carry-spin-1-2--three-quarks-bind-together-make-baryon-proton-neutron-t-q107102122
"Explain why from both probability and energy points of view, electron with symmetric wave function is required for the formation of H2+ molecular ion?
Does the above conflict with the statement of ""electron is a Fermion and has antisymmetric wave function?",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fexplain-probability-energy-points-view-electron-symmetric-wave-function-required-formation-q107102132
"""The wavelength of the radiation emitted, when in a hydrogen atom electron falls from infinity to Brackett series, would be: { Rydberg constant =1.097×107 m−1∣∣​′′ 3.64 nm 1458.5 nm 364.6 nm 14.58 nm",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fwavelength-radiation-emitted-hydrogen-atom-electron-falls-infinity-brackett-series-would-l-q107102308
"a) Briefly identify each quantity to be measured, the symbol used to represent that quantity, and the equipment that would be used to measure the quantity. b) Briefly describe the procedure to be used to determine the acceleration due to gravity, gg. Provide enough detail so that another student could replicate the experiment, including any steps necessary to reduce experimental uncertainty. As needed, use the symbols you defined in part (a). c) Which quantities (raw data or calculated from the data) would be graphed on the vertical and horizontal axes to produce a graph that could be used to determine the acceleration due to gravity, g. d) Describe which information from the graph described in part (c) would be used and how it would be used to determine the acceleration due to gravity, g. e) In another experiment, the block is pushed against the spring and released. Instead of launching off the table it collides and sticks to a long uniform rod pivoted around the end as shown above. Which of the following quantities, if any, are not constant during the collision? Brieflyexplain all reasons • Kinetic Energy • Linear Momentum • Angular Momentum",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fbriefly-identify-quantity-measured-symbol-used-represent-quantity-equipment-would-used-mea-q107102168
"P4) The half-life of 90234​Th is 24.1 days. How long after a sample of this isotope has been isolated will it take for 90 percent of it to change to 234Pa ? (answer: 80 days). P5) The decay constant of 14C is 1.210×10−4yr−1. If a sample contains 106 atoms of 4C initially, how many will it contain after 1 year? (answer 999,879 atoms).",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fp4-half-life-90-234-t-h-241-days-long-sample-isotope-isolated-take-90-percent-change-234-p-q107102460
"P2) A relic is found to give an activity count of 12cpm (counts per minute) for each gram of carbon. If living trees give a count of 16cpm, find the approximate age of the relic, (answer: 2345 yr).",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fp2-relic-found-give-activity-count-12-mathrm-cpm-counts-per-minute-gram-carbon-living-tree-q107102463
"A cord is wrapped around a pulley that is shaped like a disk of mass m=3,1 kg, radius r=3 m and moment of inertia I=2mr2​. The cord's free end is connected to a block of mass M=10 kg. The block starts from rest and then slides down an incline that makes an angle θ=30∘ with the horizontal. The acceleration of the block is 2 m/s2. The force of kinetic friction between block and incline is f. Take g=9.81 m/s2,sin30∘=0.5. A) Calculate the torque acting on the pulley in Nm.
B) Calculate the tension on the cord in Newtons.",http://api.scraperapi.com/?api_key=848b01434fc3b4899dc4ca9628acbb85&url=https%3A%2F%2Fwww.chegg.com%2Fhomework-help%2Fquestions-and-answers%2Fcord-wrapped-around-pulley-shaped-like-disk-mass-m-3-1-mathrm-~kg-radius-r-3-mathrm-~m-mom-q107102443
