question,link
A projectile is launched with an initial speed of 75 m/s at an angle of 20∘ above the horizontal. The projectile lands on a hillside 6.0 s later. Neglect air friction. (a) What is the projectile's velocity at the highest point of its trajectory? m/s (b) What is the straight-line distance from where the projectile was launched to where it hits its target? Your response differs from the correct answer by more than 10%. Double check your calculations. m,https://www.chegg.com/homework-help/questions-and-answers/projectile-launched-initial-speed-75-mathrm-~m-mathrm-s-angle-20-circ-horizontal-projectil-q107102137
"Explain why from both probability and energy points of view, electron with symmetric wave function is required for the formation of H2+ molecular ion?
Does the above conflict with the statement of ""electron is a Fermion and has antisymmetric wave function?",https://www.chegg.com/homework-help/questions-and-answers/explain-probability-energy-points-view-electron-symmetric-wave-function-required-formation-q107102132
12.4 Six simple harmonic motions of the same amplitude and period but differing from the next by +16∘ are to be added vectorily as shown in Fig-12B. If each has an amplitude of 5.0 cm. (a) Find the resultant amplitude (b) the initial phase angle of the resultant with respect to the first,https://www.chegg.com/homework-help/questions-and-answers/124-six-simple-harmonic-motions-amplitude-period-differing-next-16-circ-added-vectorily-sh-q107102143
"""The wavelength of the radiation emitted, when in a hydrogen atom electron falls from infinity to Brackett series, would be: { Rydberg constant =1.097×107 m−1∣∣​′′ 3.64 nm 1458.5 nm 364.6 nm 14.58 nm",https://www.chegg.com/homework-help/questions-and-answers/wavelength-radiation-emitted-hydrogen-atom-electron-falls-infinity-brackett-series-would-l-q107102308
"Problem 4.38 Quarks carry spin 1/2. Three quarks bind together to make a baryon (such as the proton or neutron); two quarks (or more precisely a quark and an antiquark) bind together to make a meson (such as the pion or the kaon). Assume the quarks are in the ground state (so the orbital angular momentum is zero).
(a) What spins are possible for baryons? (b) What spins are possible for mesons?",https://www.chegg.com/homework-help/questions-and-answers/problem-438-quarks-carry-spin-1-2--three-quarks-bind-together-make-baryon-proton-neutron-t-q107102122
12.2 Two waves traveling together along the same line are represented by y1=25sin(ωt−4π​) and y2=15sin(ωt−6π​) (a) Find the resultant amplitude (b) Find the initial phase angle of the resultant (c) Find the resultant equation for the sum of the two motions,https://www.chegg.com/homework-help/questions-and-answers/122-two-waves-traveling-together-along-line-represented-y-1-25-sin-left-omega-t-frac-pi-4--q107102136
methods find the following. (a) The vector sum A+B. Magnitude of A+B : units Direction of A+B:∘ counterclockwise from +x-axis (b) The vector difference A−B. Magnitude of A−B : units Direction of A−B:∘ counterclockwise from +x-axis,https://www.chegg.com/homework-help/questions-and-answers/methods-find-following-vector-sum-overrightarrow-mathbf-overrightarrow-mathbf-b--magnitude-q107102146
"a) Briefly identify each quantity to be measured, the symbol used to represent that quantity, and the equipment that would be used to measure the quantity. b) Briefly describe the procedure to be used to determine the acceleration due to gravity, gg. Provide enough detail so that another student could replicate the experiment, including any steps necessary to reduce experimental uncertainty. As needed, use the symbols you defined in part (a). c) Which quantities (raw data or calculated from the data) would be graphed on the vertical and horizontal axes to produce a graph that could be used to determine the acceleration due to gravity, g. d) Describe which information from the graph described in part (c) would be used and how it would be used to determine the acceleration due to gravity, g. e) In another experiment, the block is pushed against the spring and released. Instead of launching off the table it collides and sticks to a long uniform rod pivoted around the end as shown above. Which of the following quantities, if any, are not constant during the collision? Brieflyexplain all reasons • Kinetic Energy • Linear Momentum • Angular Momentum",https://www.chegg.com/homework-help/questions-and-answers/briefly-identify-quantity-measured-symbol-used-represent-quantity-equipment-would-used-mea-q107102168
"P4) The half-life of 90234​Th is 24.1 days. How long after a sample of this isotope has been isolated will it take for 90 percent of it to change to 234Pa ? (answer: 80 days). P5) The decay constant of 14C is 1.210×10−4yr−1. If a sample contains 106 atoms of 4C initially, how many will it contain after 1 year? (answer 999,879 atoms).",https://www.chegg.com/homework-help/questions-and-answers/p4-half-life-90-234-t-h-241-days-long-sample-isotope-isolated-take-90-percent-change-234-p-q107102460
6 单选 (2分) You stand in front of a plane mirror whose top is at the same height as the top of your head. Approximately how far down must the mirror extend for you to see your full image? To ground level where you are standing A. no one is right B. About half of the way to ground level C. About 1/4 of the way to ground level D. About 3/4 of the way to ground level,https://www.chegg.com/homework-help/questions-and-answers/6-2-stand-front-plane-mirror-whose-top-height-top-head-approximately-far-must-mirror-exten-q107102406
"A sulenoid as deugned to produce a magrebc feid of 2.50×10−2 T at Is conter it hins a ruiflus of 1.80 cm and at longth of 50.0 cm, and the woe can carry a maxmant carrent of 12.5 A You may want to teview (Pago) Correct Fof talated problem-sotving tips and atrategies, you may want to view a Video Tustor Solotinn of Feld of a solonod Part B What fotal knghi of wee ni requever? Express your answer in meters. x incorrect; Tyy Again; 3 attenpts remaining",https://www.chegg.com/homework-help/questions-and-answers/sulenoid-deugned-produce-magrebc-feid-250-times-10-2-mathrm-~t-conter-hins-ruiflus-180-mat-q107102465
